"PRASYMO_ID";"PRASYMO_PATEIKIMO_DATA";"LANKYTI_NUO";"ISTAIGA";"ISTAIGOS_KODAS";"KALBA";"PAGEIDAUJAMA_LANKYTI_KLASE"
"53";"2017-03-01 09:01:24";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"1"
"53";"2017-03-01 09:01:24";"2017-09-01";"Vilniaus Emilijos Pliaterytės progimnazija";"195472653";"lt";"1"
"53";"2017-03-01 09:01:24";"2017-09-01";"Vilniaus Prano Mašioto pradinė mokykla";"195008076";"lt";"1"
"53";"2017-03-01 09:01:24";"2017-09-01";"Vilniaus Volungės darželis-mokykla";"191713046";"lt";"1"
"54";"2017-03-01 09:01:40";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"55";"2017-03-01 09:01:48";"2017-09-01";"Vilniaus Martyno Mažvydo progimnazija";"195003862";"lt";"1"
"56";"2017-03-01 09:01:55";"2017-09-01";"Vilniaus Simono Stanevičiaus progimnazija";"290008970";"lt";"1"
"56";"2017-03-01 09:01:55";"2017-09-01";"Vilniaus Šeškinės pradinė mokykla";"191713384";"lt";"1"
"57";"2017-03-01 09:01:59";"2017-09-01";"Vilniaus Balsių progimnazija";"302589995";"lt";"1"
"58";"2017-03-01 09:02:04";"2017-09-01";"Vilniaus Prano Mašioto pradinė mokykla";"195008076";"lt";"1"
"59";"2017-03-01 09:02:08";"2017-09-01";"Vilniaus Jono Basanavičiaus progimnazija";"302523034";"lt";"1"
"60";"2017-03-01 09:02:10";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"61";"2017-03-01 09:02:12";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"62";"2017-03-01 09:02:13";"2017-09-01";"Vilniaus Martyno Mažvydo progimnazija";"195003862";"lt";"1"
"63";"2017-03-01 09:02:16";"2017-09-01";"Vilniaus ""Ryto"" progimnazija";"190006057";"lt";"1"
"64";"2017-03-01 09:02:21";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"64";"2017-03-01 09:02:21";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"64";"2017-03-01 09:02:21";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"64";"2017-03-01 09:02:21";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"64";"2017-03-01 09:02:21";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"65";"2017-03-01 09:02:38";"2017-09-01";"Vilniaus Balsių progimnazija";"302589995";"lt";"1"
"66";"2017-03-01 09:02:40";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"67";"2017-03-01 09:02:44";"2017-09-01";"Vilniaus Balsių progimnazija";"302589995";"lt";"5"
"67";"2017-03-01 09:02:44";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"5"
"67";"2017-03-01 09:02:44";"2017-09-01";"Vilniaus Emilijos Pliaterytės progimnazija";"195472653";"lt";"5"
"68";"2017-03-01 09:02:45";"2017-09-01";"Vilniaus Šolomo Aleichemo ORT gimnazija";"190009352";"lt";"1"
"68";"2017-03-01 09:02:45";"2017-09-01";"Vilniaus Jono Basanavičiaus progimnazija";"302523034";"lt";"1"
"68";"2017-03-01 09:02:45";"2017-09-01";"Vilniaus Simono Daukanto progimnazija";"301806638";"lt";"1"
"68";"2017-03-01 09:02:45";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"68";"2017-03-01 09:02:45";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"69";"2017-03-01 09:02:51";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"69";"2017-03-01 09:02:51";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"70";"2017-03-01 09:02:51";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"70";"2017-03-01 09:02:51";"2017-09-01";"Vilniaus Jeruzalės progimnazija";"190000937";"lt";"1"
"70";"2017-03-01 09:02:51";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"1"
"71";"2017-03-01 09:03:03";"2017-09-01";"Vilniaus Martyno Mažvydo progimnazija";"195003862";"lt";"1"
"72";"2017-03-01 09:03:05";"2017-09-01";"Vilniaus Vytauto Didžiojo gimnazija";"300134269";"lt";"9"
"73";"2017-03-01 09:03:15";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"4"
"73";"2017-03-01 09:03:15";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"4"
"74";"2017-03-01 09:03:16";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"5"
"75";"2017-03-01 09:03:16";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"5"
"75";"2017-03-01 09:03:16";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"5"
"75";"2017-03-01 09:03:16";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"5"
"76";"2017-03-01 09:03:24";"2017-09-01";"Vilniaus Simono Stanevičiaus progimnazija";"290008970";"lt";"1"
"77";"2017-03-01 09:03:25";"2017-09-01";"Vilniaus Sofijos Kovalevskajos progimnazija";"304075156";"ru";"1"
"78";"2017-03-01 09:03:26";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"1"
"78";"2017-03-01 09:03:26";"2017-09-01";"Vilniaus Jono Basanavičiaus progimnazija";"302523034";"lt";"1"
"79";"2017-03-01 09:03:30";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"5"
"79";"2017-03-01 09:03:30";"2017-09-01";"Vilniaus Antakalnio progimnazija";"302818006";"lt";"5"
"79";"2017-03-01 09:03:30";"2017-09-01";"Vilniaus Simono Daukanto progimnazija";"301806638";"lt";"5"
"80";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus ""Genio"" progimnazija";"191665719";"lt";"5"
"81";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus Antakalnio progimnazija";"302818006";"lt";"1"
"81";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus Filaretų pradinė mokykla";"190004234";"lt";"1"
"81";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus Petro Vileišio progimnazija";"195008119";"lt";"1"
"81";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus Emilijos Pliaterytės progimnazija";"195472653";"lt";"1"
"81";"2017-03-01 09:03:31";"2017-09-01";"Vilniaus Volungės darželis-mokykla";"191713046";"lt";"1"
"82";"2017-03-01 09:03:37";"2017-09-01";"Vilniaus Abraomo Kulviečio klasikinė gimnazija";"195005870";"lt";"1"
"82";"2017-03-01 09:03:37";"2017-09-01";"Vilniaus Žemynos progimnazija";"295472120";"lt";"1"
"82";"2017-03-01 09:03:37";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"1"
"83";"2017-03-01 09:03:40";"2017-09-01";"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";"190001843";"lt";"1"
"83";"2017-03-01 09:03:40";"2017-09-01";"Vilniaus Prano Mašioto pradinė mokykla";"195008076";"lt";"1"
"83";"2017-03-01 09:03:40";"2017-09-01";"Vilniaus Antakalnio progimnazija";"302818006";"lt";"1"
"83";"2017-03-01 09:03:40";"2017-09-01";"Vilniaus Emilijos Pliaterytės progimnazija";"195472653";"lt";"1"
"84";"2017-03-01 09:03:47";"2017-09-01";"Vilniaus Barboros Radvilaitės pagrindinė mokykla";"195474280";"lt";"1"
"84";"2017-03-01 09:03:47";"2017-09-01";"Vilniaus Antano Vienuolio progimnazija";"300134205";"lt";"1"
"84";"2017-03-01 09:03:47";"2017-09-01";"Vilniaus Simono Daukanto progimnazija";"301806638";"lt";"1"
"84";"2017-03-01 09:03:47";"2017-09-01";"Vilniaus Filaretų pradinė mokykla";"190004234";"lt";"1"
